Genre	Category	Country Name	Country	Area 2	Area 1		IF(ISBLANK($C2), "", LOWER(VLOOKUP($C2, 'country master'!$B:$I,2, FALSE)) )
blues rock							
bmore							
boeremusiek							
bolero							
bongo flava							
boom bap							
bossa nova		Brazil	br	Southern America	America		
bossa nova cover		Brazil	br	Southern America	America		
boston hip hop		United States of America	us	Northern America	America		
boston indie		United States of America	us	Northern America	America		
boston punk		United States of America	us	Northern America	America		
boston rock		United States of America	us	Northern America	America		
bounce							
bow pop							
boy band							
brasilia hip hop		Brazil	br	Southern America	America		
brass band							
brazilian boogie		Brazil	br	Southern America	America		
brazilian edm		Brazil	br	Southern America	America		
brazilian hip hop		Brazil	br	Southern America	America		
brazilian house		Brazil	br	Southern America	America		
brazilian percussion		Brazil	br	Southern America	America		
brazilian reggae		Brazil	br	Southern America	America		
brazilian rock		Brazil	br	Southern America	America		
breakbeat							
brega funk		Brazil	br	Southern America	America		
brega romantico		Brazil	br	Southern America	America		
brighton indie		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
brill building pop							
brisbane indie		Australia	au	Oceania	Oceania		
bristol electronic		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british alternative rock		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british blues		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british country		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british folk		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british indie rock		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british invasion		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british jazz		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british modern classical		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british post-rock		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british singer-songwriter		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british soul		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
british soundtrack		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
britpop		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
broadway							
broken beat							
bronx hip hop		United States of America	us	Northern America	America		
brooklyn indie		United States of America	us	Northern America	America		
brostep							
bubble trance							
bubblegum dance							
bubblegum pop							
c-pop		China	cn	Eastern Asia	Asia		
cali rap		United States of America	us	Northern America	America		
calming instrumental							
canadian contemporary country		Canada	ca	Northern America	America		
canadian contemporary r&b		Canada	ca	Northern America	America		
canadian country		Canada	ca	Northern America	America		
canadian electronic		Canada	ca	Northern America	America		
canadian electropop		Canada	ca	Northern America	America		
canadian folk		Canada	ca	Northern America	America		
canadian hip hop		Canada	ca	Northern America	America		
canadian house		Canada	ca	Northern America	America		
canadian indie		Canada	ca	Northern America	America		
canadian latin		Canada	ca	Northern America	America		
canadian metal		Canada	ca	Northern America	America		
canadian pop		Canada	ca	Northern America	America		
canadian rock		Canada	ca	Northern America	America		
canadian singer-songwriter		Canada	ca	Northern America	America		
cancion melodica							
candy pop							
cantautor							
cantopop		China	cn	Eastern Asia	Asia		
cape town indie		South Africa	za	Southern Africa	Africa		
cape verdean folk		Cabo Verde	cv	Western Africa	Africa		
carnaval							
carnaval cadiz							
cartoon							
catstep							
ccm							
cdmx indie		Mexico	mx	Central America	America		
cedm							
cello							
celtic							
celtic punk				Western Europe	Europe		
celtic rock				Western Europe	Europe		
chamber orchestra							
chamber pop							
chamber psych							
champeta							
channel islands indie		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
channel pop							
chanson		France	fr	Western Europe	Europe		
charlotte nc indie		United States of America	us	Northern America	America		
charlottesville indie		United States of America	us	Northern America	America		
charred death							
chattanooga indie		United States of America	us	Northern America	America		
chicago drill		United States of America	us	Northern America	America		
chicago hardcore		United States of America	us	Northern America	America		
chicago house		United States of America	us	Northern America	America		
chicago indie		United States of America	us	Northern America	America		
chicago punk		United States of America	us	Northern America	America		
chicago rap		United States of America	us	Northern America	America		
chicano rap		Mexico	mx	Central America	America		
children's music							
chilean hardcore		Chile	cl	Southern America	America		
chilean indie		Chile	cl	Southern America	America		
chill beats							
chill guitar							
chillhop							
chillstep							
chillwave							
chinese audiophile		China	cn	Eastern Asia	Asia		
chinese drama ost		China	cn	Eastern Asia	Asia		
chinese electronic		China	cn	Eastern Asia	Asia		
chinese electropop		China	cn	Eastern Asia	Asia		
chinese folk		China	cn	Eastern Asia	Asia		
chinese hip hop		China	cn	Eastern Asia	Asia		
chinese idol pop		China	cn	Eastern Asia	Asia		
chinese indie		China	cn	Eastern Asia	Asia		
chinese indie rock		China	cn	Eastern Asia	Asia		
chinese jazz		China	cn	Eastern Asia	Asia		
chinese metal		China	cn	Eastern Asia	Asia		
chinese minyao		China	cn	Eastern Asia	Asia		
chinese new year		China	cn	Eastern Asia	Asia		
chinese post-rock		China	cn	Eastern Asia	Asia		
chinese soundtrack		China	cn	Eastern Asia	Asia		
chinese worship		China	cn	Eastern Asia	Asia		
choral							
christelijk							
christian alternative rock							
christian dance							
christian hip hop							
christian indie							
christian metal							
christian music							
christian pop							
christian relaxative							
christian trap							
christian uplift							
christlicher rap							
christmas instrumental							
cincinnati indie		United States of America	us	Northern America	America		
circuit							
classic arab pop				Middle Eastern	Middle Eastern		
classic canadian rock		Canada	ca	Northern America	America		
classic cantopop		China	cn	Eastern Asia	Asia		
classic country pop							
classic danish pop		Denmark	dk	Northern Europe	Europe		
classic finnish pop		Finland	fi	Northern Europe	Europe		
classic garage rock							
classic girl group							
classic iskelma		Finland	fi	Northern Europe	Europe		
classic israeli pop		Israel	il	Middle Eastern	Middle Eastern		
classic italian pop		Italy	it	Western Europe	Europe		
classic mandopop		China	cn	Eastern Asia	Asia		
classic norwegian pop		Norway	no	Northern Europe	Europe		
classic opm		Philippines	ph	South Eastern Asia	Asia		
classic pakistani pop		Pakistan	pk	Southern Asia	Asia		
classic rock							
classic russian pop		Russian Federation	ru	Russia	Europe		
classic soul							
classic soundtrack							
classic swedish pop		Sweden	se	Northern Europe	Europe		
classic uk pop		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
classical	classic						
classical accordion	classic						
classical cello	classic						
classical era	classic						
classical mandolin	classic						
classical performance	classic						
classical piano	classic						
classical soprano	classic						
classical tenor	classic						
classical trumpet	classic						
cologne electronic		Germany	de	Western Europe	Europe		
cologne indie		Germany	de	Western Europe	Europe		
colombian hip hop		Colombia	co	Southern America	America		
colombian indie		Colombia	co	Southern America	America		
colombian pop		Colombia	co	Southern America	America		
columbus ohio indie		United States of America	us	Northern America	America		
comedienne							
comedy							
comedy rap							
comedy rock							
comic							
comic metal							
complextro							
compositional ambient							
conscious hip hop							
contemporary classical							
contemporary country							
contemporary jazz							
contemporary post-bop							
contemporary vocal jazz							
cool jazz							
cork indie		Ireland	ie	Western Europe	Europe		
cornetas y tambores							
corrido		Mexico	mx	Central America	America		
cosmic post-rock							
country							
country dawn							
country pop							
country rap							
country road							
country rock							
coverchill							
croatian pop		Croatia	hr	Eastern Europe	Europe		
crunk							
cuban alternative		Cuba	cu	Central America	America		
cubaton		Cuba	cu	Central America	America		
cumbia		Colombia	co	Southern America	America		
cumbia pop		Colombia	co	Southern America	America		
cumbia villera		Colombia	co	Southern America	America		
cyberpunk							
czech pop		Czechia	cz	Eastern Europe	Europe		
dakke dak							
dance pop							
dance rock							
dance-punk							
dancehall							
dangdut		Indonesia	id	South Eastern Asia	Asia		
dangdut koplo		Indonesia	id	South Eastern Asia	Asia		
dangdut remix		Indonesia	id	South Eastern Asia	Asia		
danish alternative rock		Denmark	dk	Northern Europe	Europe		
danish electronic		Denmark	dk	Northern Europe	Europe		
danish electropop		Denmark	dk	Northern Europe	Europe		
danish hip hop		Denmark	dk	Northern Europe	Europe		
danish pop		Denmark	dk	Northern Europe	Europe		
danish pop rock		Denmark	dk	Northern Europe	Europe		
dansband							
danseband							
danspunk							
dark disco							
dark jazz							
dark techno							
dark trap							
dark wave							
deathcore							
deathstep							
deep adult standards							
deep big room							
deep brazilian pop		Brazil	br	Southern America	America		
deep ccm							
deep dance pop							
deep disco house							
deep euro house							
deep filthstep							
deep flow							
deep funk							
deep funk ostentacao							
deep german hip hop		Germany	de	Western Europe	Europe		
deep groove house							
deep house							
deep indie singer-songwriter							
deep latin alternative				Southern America	America		
deep melodic euro house					Europe		
deep new americana		United States of America	us	Northern America	America		
deep pop edm							
deep pop r&b							
deep progressive house							
deep progressive trance							
deep soundtrack							
deep southern trap							
deep talent show							
deep techno							
deep tropical house							
deep turkish pop		Turkey	tr	Middle Eastern	Middle Eastern		
deep underground hip hop							
deep uplifting trance							
dembow		Jamaica	jm	Central America	America		
demoscene							
denpa-kei		Japan	jp	Eastern Asia	Asia		
denton tx indie		United States of America	us	Northern America	America		
desert blues				Western Africa	Africa		
desi hip hop		India	in	Southern Asia	Asia		
desi pop		India	in	Southern Asia	Asia		
destroy techno							
detroit hip hop		United States of America	us	Northern America	America		
detroit indie		United States of America	us	Northern America	America		
detroit trap		United States of America	us	Northern America	America		
devon indie		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
dfw rap							
dinner jazz							
dirty south rap		United States of America	us	Northern America	America		
disco							
disco house							
disney							
disney espanol							
diva house							
dixieland							
diy emo							
djent							
dmv rap							
dominican pop		Dominican Republic	do	Central America	America		
dong-yo		Korea, Republic of	kr	Eastern Asia	Asia		
doo-wop							
doom metal							
doujin		Japan	jp	Eastern Asia	Asia		
downtempo							
dream pop							
dream trance							
dreamo							
drift							
drill							
drone							
drone metal							
drum and bass							
dub techno							
dubstep							
dutch americana		Germany	de	Western Europe	Europe		
dutch edm		Germany	de	Western Europe	Europe		
dutch hip hop		Germany	de	Western Europe	Europe		
dutch house		Germany	de	Western Europe	Europe		
dutch indie		Germany	de	Western Europe	Europe		
dutch metal		Germany	de	Western Europe	Europe		
dutch pop		Germany	de	Western Europe	Europe		
dutch r&b		Germany	de	Western Europe	Europe		
dutch rock		Germany	de	Western Europe	Europe		
dutch tech house		Germany	de	Western Europe	Europe		
dutch urban		Germany	de	Western Europe	Europe		
early modern classical							
early music							
early romantic era							
east anglia indie		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
east coast hip hop		United States of America	us	Northern America	America		
easy listening							
easycore							
eau claire indie		United States of America	us	Northern America	America		
ecm-style jazz							
ectofolk							
ecuadorian pop		Ecuador	ec	Southern America	America		
edm							
edmonton indie		Canada	ca	Northern America	America		
egyptian pop		Egypt	eg	Northern Africa	Africa		
el paso indie		United States of America	us	Northern America	America		
electra							
electric bass							
electric blues							
electro							
electro house							
electro jazz							
electro latino							
electroclash							
electronic djent							
electronic rock							
electronic trap							
electronica							
electronicore							
electropop							
electropowerpop							
emo							
emo punk							
emo rap							
english indie rock		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
epicore							
escape room							
esperanto							
estonian hip hop		Estonia	ee	Eastern Europe	Europe		
estonian pop		Estonia	ee	Eastern Europe	Europe		
ethereal wave							
etherpop							
ethnotronica							
euphoric hardstyle							
eurodance					Europe		
europop					Europe		
eurovision					Europe		
experimental							
experimental electronic							
experimental hip hop							
experimental house							
experimental pop							
experimental rock							
experimental vocal							
fidget house							
filmi							
filter house							
filthstep							
fingerstyle							
finnish dance pop		Finland	fi	Northern Europe	Europe		
finnish edm		Finland	fi	Northern Europe	Europe		
finnish hip hop		Finland	fi	Northern Europe	Europe		
finnish indie		Finland	fi	Northern Europe	Europe		
finnish pop		Finland	fi	Northern Europe	Europe		
firenze indie		Italy	it	Western Europe	Europe		
float house							
florida rap		United States of America	us	Northern America	America		
fluxwork							
fo jing		China	cn	Eastern Asia	Asia		
focus							
focus trance							
folk							
folk brasileiro		Brazil	br	Southern America	America		
folk punk							
folk rock							
folk rock italiano		Italy	it	Western Europe	Europe		
folk-pop							
folktronica							
football							
forro		Brazil	br	Southern America	America		
fourth world							
francoton							
freak folk							
freakbeat							
free improvisation							
free jazz							
french hip hop		France	fr	Western Europe	Europe		
french indie pop		France	fr	Western Europe	Europe		
french indietronica		France	fr	Western Europe	Europe		
french jazz		France	fr	Western Europe	Europe		
french pop		France	fr	Western Europe	Europe		
french rock		France	fr	Western Europe	Europe		
french shoegaze		France	fr	Western Europe	Europe		
french soundtrack		France	fr	Western Europe	Europe		
full on							
funk							
funk bh							
funk carioca		Brazil	br	Southern America	America		
funk das antigas							
funk metal							
funk ostentacao							
funk rock							
funky tech house							
future funk							
future garage							
future house							
future rock							
g funk							
gabba							
gamecore							
gaming edm							
gangster rap							
garage psych							
garage rock							
gauze pop							
geek rock							
gengetone							
german alternative rap		Germany	de	Western Europe	Europe		
german baroque		Germany	de	Western Europe	Europe		
german cloud rap		Germany	de	Western Europe	Europe		
german dance		Germany	de	Western Europe	Europe		
german hip hop		Germany	de	Western Europe	Europe		
german house		Germany	de	Western Europe	Europe		
german indie		Germany	de	Western Europe	Europe		
german metal		Germany	de	Western Europe	Europe		
german pop		Germany	de	Western Europe	Europe		
german rock		Germany	de	Western Europe	Europe		
german singer-songwriter		Germany	de	Western Europe	Europe		
german soundtrack		Germany	de	Western Europe	Europe		
german techno		Germany	de	Western Europe	Europe		
german underground rap		Germany	de	Western Europe	Europe		
ghanaian hip hop		Ghana	gh	Western Africa	Africa		
ghent indie		Belgium	be	Western Europe	Europe		
girl group							
glam metal							
glam punk							
glam rock							
glasgow indie		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
glitch							
glitch hop							
glitch pop							
gnawa		Morocco	ma	Northern Africa	Africa		
gospel							
gospel singers							
gothenburg hip hop		Sweden	se	Northern Europe	Europe		
gothenburg indie		Sweden	se	Northern Europe	Europe		
gothenburg metal		Sweden	se	Northern Europe	Europe		
gothic metal							
gothic rock							
gothic symphonic metal							
gqom							
granada indie		Spain	es	Western Europe	Europe		
grave wave							
greek indie		Greece	gr	Western Europe	Europe		
greek pop		Greece	gr	Western Europe	Europe		
grime							
groove metal							
groove room							
grunge							
grupera							
guadalajara indie		Mexico	mx	Central America	America		
guaracha		Cuba	cu	Central America	America		
guatemalan pop		Guatemala	gt	Central America	America		
gulf hip hop							
gypsy fusion				Eastern Europe	Europe		
gypsy jazz				Eastern Europe	Europe		
gypsy punk				Eastern Europe	Europe		
haitian gospel		Haiti	ht	Central America	America		
halloween							
hamburg electronic		Germany	de	Western Europe	Europe		
hamburg hip hop		Germany	de	Western Europe	Europe		
hammond organ		Germany	de	Western Europe	Europe		
hands up							
happy hardcore							
hard bass							
hard bop							
hard rock							
hardcore							
hardcore hip hop							
hardcore punk							
hardcore techno							
hardstyle							
harlem hip hop							
hawaiian hip hop		United States of America	us	Northern America	America		
heartland rock							
heavy alternative							
hip hop							
hip hop tuga		Portugal	pt	Western Europe	Europe		
hip house							
hip pop							
hokkien pop		Taiwan, Province of China[a]	tw	Eastern Asia	Asia		
hollywood		United States of America	us	Northern America	America		
hong kong hip hop		Hong Kong	hk	Eastern Asia	Asia		
hong kong indie		Hong Kong	hk	Eastern Asia	Asia		
honky tonk							
hopebeat							
horror punk							
horror synth							
house							
houston rap		United States of America	us	Northern America	America		
hungarian metal		Hungary	hu	Eastern Europe	Europe		
hungarian pop		Hungary	hu	Eastern Europe	Europe		
hyperpop							
hyphy							
icelandic classical		Iceland	is	Northern Europe	Europe		
icelandic electronic		Iceland	is	Northern Europe	Europe		
icelandic experimental		Iceland	is	Northern Europe	Europe		
icelandic folk		Iceland	is	Northern Europe	Europe		
icelandic indie		Iceland	is	Northern Europe	Europe		
icelandic pop		Iceland	is	Northern Europe	Europe		
icelandic rock		Iceland	is	Northern Europe	Europe		
idol							
idol rock							
indian edm		India	in	Southern Asia	Asia		
indian folk		India	in	Southern Asia	Asia		
indian indie		India	in	Southern Asia	Asia		
indian rock		India	in	Southern Asia	Asia		
indie anthem-folk							
indie cafe pop							
indie catala							
indie curitibano		Brazil	br	Southern America	America		
indie deutschrap		Germany	de	Western Europe	Europe		
indie electronica							
indie electropop							
indie folk							
indie folk italiano		Italy	it	Western Europe	Europe		
indie garage rock							
indie jazz							
indie liguria		Italy	it	Western Europe	Europe		
indie pop							
indie pop rap							
indie pop rock							
indie poptimism							
indie psych-pop							
indie punk							
indie quebecois		Canada	ca	Northern America	America		
indie r&b							
indie rock							
indie rock italiano		Italy	it	Western Europe	Europe		
indie rockism							
indie singer-songwriter							
indie soul							
indie surf							
indie valenciana		Spain	es	Western Europe	Europe		
indie viet		Viet Nam	vn	South Eastern Asia	Asia		
indiecoustica							
indietronica							
indonesian city pop		Indonesia	id	South Eastern Asia	Asia		
indonesian edm		Indonesia	id	South Eastern Asia	Asia		
indonesian folk		Indonesia	id	South Eastern Asia	Asia		
indonesian hip hop		Indonesia	id	South Eastern Asia	Asia		
indonesian indie		Indonesia	id	South Eastern Asia	Asia		
indonesian indie pop		Indonesia	id	South Eastern Asia	Asia		
indonesian jazz		Indonesia	id	South Eastern Asia	Asia		
indonesian pop		Indonesia	id	South Eastern Asia	Asia		
